timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%]
2018/11/16 15:52:20.848, [Not Supported], 42 %, 26 %
2018/11/16 15:52:21.848, [Not Supported], 43 %, 27 %
2018/11/16 15:52:22.849, [Not Supported], 44 %, 28 %
2018/11/16 15:52:23.850, [Not Supported], 45 %, 29 %
2018/11/16 15:52:24.851, [Not Supported], 47 %, 30 %
2018/11/16 15:52:25.852, [Not Supported], 44 %, 28 %
2018/11/16 15:52:26.853, [Not Supported], 40 %, 26 %
2018/11/16 15:52:27.853, [Not Supported], 39 %, 25 %
2018/11/16 15:52:28.854, [Not Supported], 40 %, 25 %
2018/11/16 15:52:29.856, [Not Supported], 44 %, 28 %
2018/11/16 15:52:30.856, [Not Supported], 40 %, 25 %
2018/11/16 15:52:31.857, [Not Supported], 40 %, 25 %
2018/11/16 15:52:32.858, [Not Supported], 42 %, 26 %
2018/11/16 15:52:33.859, [Not Supported], 40 %, 25 %
2018/11/16 15:52:34.860, [Not Supported], 44 %, 28 %
2018/11/16 15:52:35.861, [Not Supported], 39 %, 24 %
2018/11/16 15:52:36.862, [Not Supported], 39 %, 25 %
2018/11/16 15:52:37.863, [Not Supported], 43 %, 27 %
2018/11/16 15:52:38.864, [Not Supported], 42 %, 27 %
2018/11/16 15:52:39.865, [Not Supported], 46 %, 28 %
2018/11/16 15:52:40.865, [Not Supported], 42 %, 27 %
2018/11/16 15:52:41.867, [Not Supported], 44 %, 28 %
2018/11/16 15:52:42.867, [Not Supported], 39 %, 25 %
2018/11/16 15:52:43.868, [Not Supported], 44 %, 28 %
2018/11/16 15:52:44.869, [Not Supported], 41 %, 26 %
2018/11/16 15:52:45.870, [Not Supported], 42 %, 26 %
2018/11/16 15:52:46.870, [Not Supported], 38 %, 24 %
2018/11/16 15:52:47.871, [Not Supported], 48 %, 29 %
2018/11/16 15:52:48.872, [Not Supported], 46 %, 29 %
2018/11/16 15:52:49.873, [Not Supported], 46 %, 29 %
2018/11/16 15:52:50.873, [Not Supported], 48 %, 31 %
2018/11/16 15:52:51.875, [Not Supported], 42 %, 26 %
2018/11/16 15:52:52.876, [Not Supported], 43 %, 27 %
2018/11/16 15:52:53.876, [Not Supported], 52 %, 31 %
2018/11/16 15:52:54.877, [Not Supported], 38 %, 24 %
2018/11/16 15:52:55.878, [Not Supported], 46 %, 29 %
2018/11/16 15:52:56.879, [Not Supported], 50 %, 29 %
2018/11/16 15:52:57.880, [Not Supported], 45 %, 28 %
2018/11/16 15:52:58.880, [Not Supported], 42 %, 26 %
2018/11/16 15:52:59.881, [Not Supported], 54 %, 33 %
2018/11/16 15:53:00.882, [Not Supported], 40 %, 25 %
2018/11/16 15:53:01.883, [Not Supported], 42 %, 27 %
2018/11/16 15:53:02.884, [Not Supported], 41 %, 25 %
2018/11/16 15:53:03.885, [Not Supported], 40 %, 26 %
2018/11/16 15:53:04.886, [Not Supported], 42 %, 26 %
2018/11/16 15:53:05.887, [Not Supported], 46 %, 28 %
2018/11/16 15:53:06.888, [Not Supported], 46 %, 29 %
2018/11/16 15:53:07.889, [Not Supported], 39 %, 25 %
2018/11/16 15:53:08.890, [Not Supported], 39 %, 24 %
2018/11/16 15:53:09.890, [Not Supported], 44 %, 25 %
2018/11/16 15:53:10.891, [Not Supported], 41 %, 26 %
2018/11/16 15:53:11.892, [Not Supported], 47 %, 29 %
2018/11/16 15:53:12.892, [Not Supported], 36 %, 22 %
2018/11/16 15:53:13.893, [Not Supported], 41 %, 26 %
2018/11/16 15:53:14.894, [Not Supported], 39 %, 24 %
2018/11/16 15:53:15.895, [Not Supported], 44 %, 27 %
