timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%]
2018/11/16 15:55:26.303, [Not Supported], 46 %, 28 %
2018/11/16 15:55:27.304, [Not Supported], 45 %, 28 %
2018/11/16 15:55:28.305, [Not Supported], 45 %, 28 %
2018/11/16 15:55:29.305, [Not Supported], 47 %, 30 %
2018/11/16 15:55:30.307, [Not Supported], 42 %, 26 %
2018/11/16 15:55:31.308, [Not Supported], 44 %, 28 %
2018/11/16 15:55:32.309, [Not Supported], 42 %, 26 %
2018/11/16 15:55:33.310, [Not Supported], 53 %, 32 %
2018/11/16 15:55:34.311, [Not Supported], 40 %, 25 %
2018/11/16 15:55:35.312, [Not Supported], 43 %, 27 %
2018/11/16 15:55:36.312, [Not Supported], 41 %, 25 %
2018/11/16 15:55:37.313, [Not Supported], 40 %, 26 %
2018/11/16 15:55:38.314, [Not Supported], 47 %, 30 %
2018/11/16 15:55:39.314, [Not Supported], 54 %, 31 %
2018/11/16 15:55:40.315, [Not Supported], 50 %, 33 %
2018/11/16 15:55:41.316, [Not Supported], 60 %, 42 %
2018/11/16 15:55:42.317, [Not Supported], 17 %, 6 %
2018/11/16 15:55:43.317, [Not Supported], 17 %, 7 %
2018/11/16 15:55:44.318, [Not Supported], 10 %, 8 %
2018/11/16 15:55:45.319, [Not Supported], 27 %, 16 %
2018/11/16 15:55:46.320, [Not Supported], 25 %, 17 %
2018/11/16 15:55:47.320, [Not Supported], 34 %, 23 %
2018/11/16 15:55:48.321, [Not Supported], 36 %, 25 %
2018/11/16 15:55:49.322, [Not Supported], 46 %, 32 %
2018/11/16 15:55:50.323, [Not Supported], 39 %, 26 %
2018/11/16 15:55:51.324, [Not Supported], 44 %, 30 %
2018/11/16 15:55:52.325, [Not Supported], 45 %, 33 %
2018/11/16 15:55:53.326, [Not Supported], 41 %, 28 %
2018/11/16 15:55:54.327, [Not Supported], 44 %, 31 %
2018/11/16 15:55:55.328, [Not Supported], 36 %, 24 %
2018/11/16 15:55:56.329, [Not Supported], 37 %, 25 %
2018/11/16 15:55:57.330, [Not Supported], 39 %, 26 %
