timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%]
2018/11/16 15:54:50.562, [Not Supported], 43 %, 26 %
2018/11/16 15:54:51.563, [Not Supported], 39 %, 24 %
2018/11/16 15:54:52.564, [Not Supported], 39 %, 24 %
2018/11/16 15:54:53.565, [Not Supported], 57 %, 36 %
2018/11/16 15:54:54.566, [Not Supported], 42 %, 26 %
2018/11/16 15:54:55.567, [Not Supported], 39 %, 24 %
2018/11/16 15:54:56.568, [Not Supported], 47 %, 30 %
2018/11/16 15:54:57.569, [Not Supported], 44 %, 26 %
2018/11/16 15:54:58.570, [Not Supported], 36 %, 23 %
2018/11/16 15:54:59.571, [Not Supported], 43 %, 27 %
2018/11/16 15:55:00.572, [Not Supported], 44 %, 28 %
2018/11/16 15:55:01.573, [Not Supported], 40 %, 25 %
2018/11/16 15:55:02.574, [Not Supported], 37 %, 24 %
2018/11/16 15:55:03.575, [Not Supported], 46 %, 28 %
2018/11/16 15:55:04.576, [Not Supported], 42 %, 26 %
2018/11/16 15:55:05.577, [Not Supported], 43 %, 27 %
2018/11/16 15:55:06.577, [Not Supported], 42 %, 26 %
2018/11/16 15:55:07.578, [Not Supported], 40 %, 24 %
2018/11/16 15:55:08.579, [Not Supported], 45 %, 27 %
2018/11/16 15:55:09.580, [Not Supported], 47 %, 29 %
2018/11/16 15:55:10.581, [Not Supported], 50 %, 33 %
2018/11/16 15:55:11.582, [Not Supported], 44 %, 27 %
2018/11/16 15:55:12.583, [Not Supported], 42 %, 26 %
2018/11/16 15:55:13.584, [Not Supported], 44 %, 27 %
2018/11/16 15:55:14.584, [Not Supported], 39 %, 24 %
2018/11/16 15:55:15.586, [Not Supported], 40 %, 25 %
2018/11/16 15:55:16.587, [Not Supported], 49 %, 31 %
2018/11/16 15:55:17.587, [Not Supported], 42 %, 26 %
2018/11/16 15:55:18.588, [Not Supported], 41 %, 26 %
2018/11/16 15:55:19.589, [Not Supported], 58 %, 34 %
2018/11/16 15:55:20.590, [Not Supported], 45 %, 28 %
